rating,title,author,date,aircraft,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,content_clean,trip_verified,sentiment
4,"""All in all very disappointing""",M Johnson,2023-06-07,Couple Leisure,4,4,1,Not Rated,5,Not Rated,1,no,my husband and i booked seats within our premium economy booking on both outward journey ba015 on 12 february and return on 11 march we were last or almost last to be served food each time they had run out of our choices on one occasion i did not eat as only available option was curry which disagrees with me on all flights there appeared to be an undue focus on curryspicy food all in all very disappointing and left us with a very poor opinion of british airways,Verified,Negative
1,"""customer service was horrendous""",Benjamin Stevens,2023-06-06,Boeing 777,2,4,4,4,2,1,2,no,may 3 flew from seattle to heathrow then to edinburgh ba lost my golf bag which caused me to purchase golf shoes club rentals tees balls i had tee times at two courses in st andrews that took months to make the promised my bag returned in 24 hours and they would reimburse occurred expenses i contacted ba and they state they would only reimburse toiletries then the return flight home was randomly canceled by ba without notifying me or without notice two weeks before the scheduled flight i contacted the corporate travel team they informed me ba canceled my return reservation they rebooked me on the same flight ba customer service was horrendous and make false promises i will never use this airlines again beware of british airways they also randomly canceled my girlfriend and her fathers flight and they are both gold members,Not Verified,Negative
2,"""All flights without exception were delayed""",V Samaras,2023-06-06,Solo Leisure,4,5,3,3,5,Not Rated,4,no,i went through three flights to reach my destination all of my ba flights without exception were delayed both on my way to my destination and back from my destination which is understandable to an extent whats not understandable is that they werent prepared for one of the flights and delayed by almost an hour so i ended up missing a flight and for that they rebooked me 24h ahead providing only accommodation which they messed up as well and after 30 hours of traveling i had to wait and hope that the hotel would find an extra room since ba didnt communicate properly with them i gave ba a chance to correct their mistake by contacting them after the flights but all they did was answer once with a lot of serious complaints that were involved with their flights and all they did was tell me to contact their partners that i had the last flight with which went smoothly and they had nothing to do with the previously addressed complaints i contacted them and gave them over a week asking why they didnt address any of my complaints that their partner could have nothing to do with and they just ghosted me 210 for the kind personnel thats holding this airline together though,Verified,Positive
9,"""An excellent flight""",Christopher Neep,2023-06-06,A350,5,5,4,5,4,Not Rated,4,Yes,an excellent flight in club world on british airways the welcome aboard was warm and that continued throughout the flight the crew were attentive friendly and very professional on board food for dinner and breakfast was good and there was a well chosen selection of wines in flight entertainment offered a great selection of films and audio the seatflat bed was very comfortable british airways have done an excellent job in the design and comfort of the suites on board the a350 i liked the sleek minimalist design this flight showed that ba can be among the worlds best airlines,Verified,Positive
3,"""luggage was still in London""",Ali Balandy,2023-06-05,Family Leisure,3,2,2,3,1,3,1,no,the flight schedule was delayed for one hour after boarding the plane we were delayed at least another 30 minutes when we arrived in london we were delayed again for at least another 30 minutes to find a gate we were left with 45 minutes only to catch our connecting flight to barcelona we needed to run and take the train to different terminal to catch our next connecting flight when we arrived at barcelona airport we discovered that our check in luggage was still in london very painful trip disrupted our vacation not flying with ba anymore if i can find alternative airlines,Verified,Negative
1,"""worst experience in all my years of travel""",A Robinson,2023-06-03,Family Leisure,1,1,1,1,1,1,1,no,the worst experience in all my years of travel my first flight with my two kids from boston to london was delayed by 2 hours resulting in me missing my connecting flight despite having a layover of approximately 25 hours i ended up waiting until 430 pm to board my flight to cairo unfortunately even that flight was delayed i would strongly advise avoiding this particular airline even if it means paying a bit more for a different option,Verified,Negative
1,"""The worst experience""",K Parker,2023-06-03,Couple Leisure,1,1,1,1,1,1,1,no,the worst experience in all my years of travel bag was destroyed flight delayed 3 hours and couldnt get water on board then when attempting to claim on their website the entire site failed on a dropdown menu that wouldnt work you cant contact them plane was filthy and someone elses belongings and left over food was still in our seat,Verified,Negative
2,"""haven’t received any reimbursement""",Tanya Tracy,2023-06-02,Family Leisure,3,1,1,3,1,3,1,no,terrible delays had to rebook our domestic travel for 5 passengers and havent received any reimbursement on the same lost all my luggage received luggage after 4 days had to purchase new clothes for the family for a wedding no customer service rep picks up the phone,Verified,Negative
10,"""the crew has helped me""",Christos Hadjipanayi,2023-06-01,Solo Leisure,5,5,Not Rated,Not Rated,5,Not Rated,5,Yes,a serious medical problem appeared while i was onboard i informed the crew and they helped me out unfortunately i was in transit but travelling further became too difficult because of how unwell i became also i could not find my way back home in my condition thankfully the crew has helped me in every step of the journey until i returned back home it was a stressful experience but the crew of british airways made it way more tolerable,Verified,Negative
1,"""check-in process was terrible""",N Stane,2023-05-30,Family Leisure,1,1,Not Rated,Not Rated,1,Not Rated,1,no,i havent flown british airways before and will never fly them again the checkin process was terrible and slow there were over 30 people in the regular check in line and they had two agents working it they had one agent working the first class line it should not take that long to check people in especially when people should have checked in online ahead of time our group checked in online and almost missed our plane because of the slow counter service we had to run to the gate and we did make it but they were terrible,Verified,Negative
1,"""the worst airline experience I've ever had to deal with""",Alex Martinez,2023-05-29,Solo Leisure,1,1,1,1,1,1,1,no,my itinerary was supposed to be las vegaschicagolondonvenice when i landed in london heathrow i was stuck on the aircraft for 2 hours with no explanation as to why and because of such a delay i missed my connecting flight to venice getting off the plane was when the real nightmare took place our flight had over 300 people aboard meaning many were in a rush to get to their flights or had already missed their flight they put us into two lines one of them being for people who missed their flight i waited approximately 10 minutes just to come up to a clerk who told me since i missed my flight i would have to go to the connecting flight ba service desks for further assistance if i were to have known that was the only information i would receive i would have skipped being in that line altogether when i went to the service desk where there were more than 60 people standing in line i waited 30 minutes until a clerk came by passing everyone a pamphlet telling people to create an account online and to book our flights through the ba site since their systems were down and couldnt rebook anyone it was a hassle doing anything through he ba site so i ended up calling the helpline after waiting to be connected to a ba rep i spoke with a woman who said i would have to call iberia airlines for a rebook i called iberia and they said since i booked through expedia i would have to call them expedia then said i would have to call ba for the rebook so when i called ba again the rep said the only flight he could get me booked for was for the following monday mind you i was travelling since the 25th which was a friday all the hotels in the vicinity of the airport were booked i was trying to figure out where my checked baggage went i still dont have it most of the customer service i got from ba reps was horrible service as if they could care less for the predicament their company caused me they acted like i was inconveniencing them with my issues i also had to sleep in the airport waiting for my flight the next morning because hotels were booked overall my experience with british airlines has been the worst airline experience ive ever had to deal with i will never book with this company again i would rather pay more money for a ticket in a different airline than buy through this company again,Not Verified,Negative
9,"""Service was good""",E Smyth,2023-05-29,Boeing 777-300,4,4,3,5,4,5,4,Yes,busy day at lhr and flight full lounge crowded but b gates lounge quieter flight left on time very professional crew greeted by name and executive club status acknowledged and thanked for return custom a nice touch service was good food average entertainment good early arrival quick processing at jfk all good,Verified,Positive
2,"""Last time I will fly British Airways""",S Anderson,2023-05-27,A320,1,3,Not Rated,1,1,1,2,no,worst seats i have ever encountered in economy class no leg room at all i had to spread my legs to fit staff at the terminal rude business class offers the same seat but with more legroom and they block the middle seat they cram people in seats with no legroom and block off the same seat type at the front of the plane where there is more legroom just so the business class passenger has an empty seat between them plane is old with no onboard entertainment for a 3 hours flight last time i will fly british airways,Verified,Positive
1,"""cancel your flight without notice""",B Sherry,2023-05-23,Couple Leisure,1,1,1,1,1,1,1,no,top ten reasons to not use british airways to all be aware and be on notice travel at your own risk i have travelled for years on many different airlines and i have to say that british airways ranks as one of the top two most horrible airlines to fly dont waste your time or money customer service is nonexistent please be on notice that if you purchase a ticket from them and once they have your money you can kiss any customer service and or help resolving your issue goodbye we used them to travel to europe and it was the worst experience i have had with an airline in years when you work hard and save your money to travel you expect a good experience welp not with this company who i am sure makes millions on customers per year i understand that sometimes things happen but this started right after we booked our flight and the bad experience did not end until we set foot back to our hometown please take note 1 the customer service number is buried on the internet and not listed on their website i had to google it and still got the run around when someone finally answered trust me the number is a secret 2 when you finally find a customer service number there is a long wait and when or if someone answers they will not resolve your issues instead they pass the buck to whatever airlines that they sold your ticket to no one takes ownership 4 what airlines operates 365 days a year and around the clock but doesnt have customer service reps to help you the customer british airways thats who 5 they will cancel your flight without notice and not notify you at all no email no text 6 if you are not the primary on your ticket you will get no notifications or even if you are the primary you may or may not get notifications 7 if you pay for seats and you pick them it doesnt matter they will cancel your seats and not refund your money and then play stupid 8 the flight may be cheaper but it is not once you are done paying for seats 9 they will route to another partner airline and not notify you 10 if you have a connecting flight they will cancel one leg and not the other and not notify you i will never use them again and if this review helps one person that heeds my advice then my job is done,Not Verified,Positive
10,"""flights changed with no cost""",William Jackson,2023-05-23,Couple Leisure,4,4,Not Rated,Not Rated,5,Not Rated,4,Yes,easy check in on the way to heathrow the flight was on time with no issues our return flight to valencia was booked for the afternoon and our long haul flight arrived early at heathrow this was with another airline and was not a connecting flight i asked at the british airways check in if we could be put onto the morning flight back to valencia to avoid seven hours waiting at heathrow we had our flights changed with no cost and were checked in within five minutes that is indeed customer service thank you,Not Verified,Positive
10,"""Cheap, quick and efficient""",A Warten,2023-05-23,A320,5,5,5,Not Rated,5,Not Rated,5,Yes,online check in worked fine quick security check once onboard quick flight up to glasgow water and snack provided all in all very pleased cheap quick and efficient,Verified,Positive
2,"""the worst major European airline""",E Michaels,2023-05-22,A320 Finnair,2,2,3,1,1,1,1,no,the ba first lounge at terminal 5 was a zoo at 2pm dirty tables and used tableware everywhere worse than this the usual atrocious boarding gate service and boarding started 50 mins late the flight was operated by a finnair a320 which is barely low cost standard let alone business class hard thin uncomfortable seats poor legroom and the cabin was simply tatty i remain shocked that ba allow this and its time for bas ceo and management focused on standards rather than bean counting finnair cabin staff were fundamentally courteous but they provide a very trimmed down budget airline type service as the whole trip turned out to be and yet this business class ticket was one of the more expensive on recent trips i thought post covid that ba were better for a few months but with the many cost cuts they are making they fall well below all other european full service airlines,Verified,Negative
4,"""do not think the fare was worth the money""",Steve Bennett,2023-05-22,A319,2,3,3,Not Rated,4,1,1,no,paid a quick visit to nice yesterday from heathrow decided to go business class since my last short haul flight in economy was a real crush and rather unpleasant i paid over 300 for a business class round trip i went into the to ba lounge in terminal 5 which was very crowded being 630 in the morning i decided against having a drink and stuck to the breakfast offering the cooked options did not look that appealing but the fresh fruit selection was very enjoyable we subsequently discovered a much nicer ba lounge closer to the gate b36 and waited there for 40 mins boarding was efficient and we got ourselves seated in 2a and 2c seat 2b was blocked out which acted as an additional table there did not seem to be any difference in the width of the seat from the cramped seating in economy but there may have been an additional inch of leg room i think that ba are trying to outdo easyjet in terms on no frills it would not cost ba that much to supply business class passengers with a complimentary newspaper to read during the flight the inflight magazine is no longer available there are no screens so there was zero in terms of in flight entertainment the inflight wifi was flaky at best and nonexistent at other times i was glad it was only a two hour flight i really do not think the fare that we paid was worth the money,Not Verified,Positive
2,"""BA is on the skids downhill""",N Mayle,2023-05-19,Solo Leisure,3,1,1,4,2,Not Rated,2,no,words fail to describe this last awful flight baby across the aisle crying for most of the flight and although horrible to go without any rest for the long flight lhrsfo its understandable for a baby to cry nonstop but the crew yakking loudly in the galley even after a polite notification that their conversation could be heard in the cabin that made the flight unbearable for any rest or sleep always difficult anyway westbound the food was so bad that most turned down whatever the nasty offering was on the 2nd service what happened to the really nice tea and scones ive said this before after suffering through the ba concept of customer service ie dont do anything to help the passenger if it involves any extra work this time i swear i mean it never again on ba please the lounge was so packed even a single traveler had a hard time finding a seat poor ba is on the skids downhill,Verified,Negative
1,"""Absolutely terrible experience""",E Heale,2023-05-17,Solo Leisure,1,1,3,3,1,1,1,no,absolutely terrible experience the app would not let me check in online and repeatedly asked for covid documents but then did not accept them even when provided i was trying to fly back to the usa where i am a citizen and the app caused repeated errors i went to british airways customer service to check in and was told that my seat was already given away to another passenger even though i was there in plenty of time this was also during an industrial action at heathrow meaning the number of flights were limited i was delayed over 24 hours in returning to the usa all because of their terrible app and then bad customer service that gives away seats even when the paid passenger is already there at the airport,Verified,Negative
1,"""poor service and unhappy customers""",H Mike,2023-05-17,Business,4,3,1,Not Rated,1,Not Rated,1,no,ba overbook every flight to maximise their income with no regard for the customer it means you cannot check in online or at the kiosk in the airport and have to queue even with no luggage makes easyjet and ryanair look like customer champions the server in itsu in the ba terminal says she stopped flying ba years ago due to the service being bad all the time most customers she serves have a complaint staff dont care as poor service and unhappy customers is a routine occurrence,Verified,Negative
1,"""just won't use them again""",Richard Cruise,2023-05-17,Solo Leisure,1,3,3,1,1,1,1,no,the flights were all on time except belfast from london which never is the staff were efficient my issue is the app i could not book seats to tel aviv though tried for a month as wanted to pay so ended up in a middle seat even though a window seat was available on the flight the seat was in front of the dividing barrier and was used as thoroughfare by the service team throughout the flight so i wasted my money on pe seat you can get hold of ba customer service via the app either and they have just ignored all other communication so just wont use them again,Verified,Positive
3,"""Another bad show""",Kathi Blanning,2023-05-14,Couple Leisure,5,5,4,5,1,2,1,no,only the second time flying ba as first time wasnt positive could have made my connection in heathrow if ba had been proactive instead overnight at the renaissance hotel compliments of ba adequate but one wonders why a large part of this hotel is devoted to sleeping and feeding of hundreds of stranded passengers if ba had offered one employee to help us get to our gate instead of waiting for the shuttle bus which was a half hour late arriving we could have made our flight and saved ba the cost of rebooking hotel shuttle food accommodations another bad show business class fare should offer more,Not Verified,Positive
3,"""what an earth is going on at BA""",Harry Okin,2023-05-14,Couple Leisure,4,3,1,2,1,1,1,no,i wasnt going to bother reviewing this flight as i seem to be on a perpetual downer with ba but the airport experience convinced me otherwise after having our flight class reduced from first to business then offered an alternative route on the outward leg in first to make up for the disappointment they then reneged on this as it was a special anniversary it sucked flying back we checked in online to our chosen window seats at the gate we had to show our passports as we passport before boarding as we were hand luggage only trying to board we had our passports checked twice more and were issued new boarding cards for centre seats unbelievable the flight itself was very quiet and only half the normal crew for this aircraft was unavailable this meant no predeparture drinks and a limited selection of food the crew was great but what an earth is going on at ba they have this unique knack to snatch defeat from the jaws of victory every time i say this as the new club suites are great,Verified,Positive
1,"""I had to reschedule my flight""",Nicholas Felty,2023-05-13,Couple Leisure,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,1,no,i booked business class tickets for my fiancé and i i had to reschedule my flight due to an unforeseen timing change so i called to get have my flight refunded the representative on the phone informed me he wasnt sure how much i would get as the refund department needed to check but estimated i would lose 1020 of my booking to fees i accepted i never got a cancellation email or any update but instead received 35 total back less than 1 of my booking costs since then i have spent over 5 hours calling different departments before they blocked me ive lost a tremendous amount of money with nothing to show,Verified,Positive
1,"""most appalling airline service""",C Peale,2023-05-08,Boeing 787-9,1,1,1,1,1,1,1,no,i will never travel with british airways again i spent over 10000 on a business class seat to attend a funeral in the uk first the boeing 7879 cabin has 7 seats across the aisle so what you are getting in reality is premium economy the seats are narrow and effectively are a business class seat cut in half they have squeezed these seats in which means that some passengers bump their heads into the bulkhead when they stand up and many have to clamber over others to go to the toilet which wakes up that passenger the whole point about business class is that you pay to rest and have privacy and not have someone push over the top of you second the food was disgusting third the service terrible fourth the toilet was tiny fifth the inflight screen was fixed and too high so i could not see anything sixth their baggage handling is also appalling meaning that my taxi was waiting for 2 hours and i had to pay more no free airport transfers with british airways seventh the charging points did not work the second leg to london was on a larger plane with 4 seats across the aisle that was bearable because no hopping over people but the seat was very uncomfortable because it was not one piece this means that you are sleeping on a metal bar the seat where there is a gap in the seat to add insult to injury i now find that both flights back to sydney are on the small plane to book a seat before check in is 170 i paid it but note that there were only 4 seats left this is why i got the worst seat in the house going out this is the most appalling airline service i have ever encountered there is no point paying for business class in british airways,Verified,Negative
1,"""Customer service is shocking""",Jason Wickert,2023-05-06,Solo Leisure,1,1,1,1,1,1,1,no,i am already in portugal so contacted them today and they cancelled my return flight because i was 10 minutes late calling them even though i tried for 2 hours to get through the day before now i am unable to get back and they have kept the 500 pounds customer service is shocking they have no intention of helping you,Verified,Negative
1,"""Avoid this airline""",S Dasirou,2023-05-06,Business,Not Rated,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no,terrible avoid this airline its now becoming regular practice to cancel flights had a cancellation from switzerland that forced us to spend the whole night in a cheap hotel and had to fly out the next day and then had another cancellation to spain the airline only knows how to ask for expensive prices,Verified,Positive
2,"""a lot of actual lies being told""",Alexander George,2023-05-01,Business,4,3,3,3,1,4,1,no,despite being a gold member the british airways staff in heathrow literally could not care in the slightest about the absolute turmoil and logistical damage or wider impact of their terrible service all the staff members repeat the same mantra we are not obliged to provide even an update for the first 24 hours as if that would make the situation better there are no proactive updates no empathy no care but a lot of actual lies being told you can tell that they have given up any care or thought for the passengers as actual individuals they show this in every action and word they say all of them are better suited to working away from other humans,Verified,Positive
5,"""premium price for very average service""",G Jones,2023-04-28,Boeing 787,4,2,1,5,3,1,1,no,regarding the aircraft and seat the business class seats on this flight were pretty good all were of the suite type where every seat has its own booth with sliding door for extra privacy the downside to this is that if you are travelling as a couple its quite difficult to interact there is ample storage and usb charging ports the seat is pretty comfortable as someone who finds it very difficult to sleep on flights this was one of the only times ive been able to get a few minutes sleep here and there the amenities provided are pretty average when compared to other airlines the leather toiletry bag was quite nice though no slippers only a pair of socks the restrooms on the flight are very small and dont provide much in the way of toiletries compared to other airlines no free wifi in business class is not acceptable another example of bas penny pinching in recent years regarding the staff and customer service poor inattentive beyond meal times there was offer of water during the flight i had to go and find an attendant and ask there was also no offer of any snacks rude at times my partner asked for a fork to be replaced as the one provided was quite clearly dirty the attendant was incredibly rude in response this left us shocked different customers seem to receive a different quality of service a customer behind me was repeatedly greeted politely by name and asked how they were whether they needed anything etc whereas my partner and i were not afforded the same level of personal service this is disappointing as we paid the same price for the tickets so expect the same level of service the food was pretty bad i had risotto while my partner had chicken both were extremely over cooked and the rice looked like porridge the vegetables were discoloured and flavourless the bread was nice though the breakfast wasnt much better summary ba has become the ryanair of long haul the customer service is way below what i would expect for a premium airline in a premium seat you pay a premium price for a very average service if there are other options available i would choose them over ba these days,Not Verified,Negative
1,"""lack of customer service""",Michelle Morgan,2023-04-26,Couple Leisure,3,3,3,2,3,Not Rated,1,no,i travelled with british airways from sweden to los angeles via london in december 2022 when i arrived at lax one of my bags were missing there was no information of the whereabouts of my bag and after searching for someone for about 30 minutes i found the point of contact and she told me my bag was left behind i gave her my details of where i would be staying and she told me that they would contact me after a few days and still no contact i tried to call british airways customer service the woman at the airport didnt give me a file reference number so it was quite difficult to try and locate my bag but they finally found the reference number and my bag and said it would be delivered in a couple of days i told them that i had switched hotels and gave them the address for where i was staying and everything was fine but then a couple of weeks went by and my bag was still nowhere to be seen and it was time for me to fly home at the airport i tried to talk with the personnel there to try and locate my bag and they said that it was delivered to the first hotel i stayed at even though i had given them an updated address i asked them what i should to since i was flying home now the guy at the counter told me that it wasnt his problem and that i should figure it out myself i questioned him about his response and he just walked away a manager saw that and came up to me and apologized for his colleague and that they would send someone to fetch my bag and send it with either my flight or the next one i came home and a couple of days later i received my bag i made a complaint and claims on british airways website since i had to buy clothes and toiletries during my vacation because i didnt have my bag in january they said that they would refund me for my claims it is now april almost may and i have still not received the refund even after multiple email conversations i dont know what to do anymore about this situation since it appears that no one is willing to help me i am appalled about how the situation is being handled and frankly disappointed at british airways and the lack of customer service,Not Verified,Negative
2,"""Overall not a good airline""",Srinivasan Balaji,2023-04-24,Boeing 777,3,2,1,1,3,1,2,no,food was lousy who ever is planning the asian hindu vegetarian meal is clueless as to what this meal includes the snack was also lousy it took us 2 hours just to go from t5 to t3 and clear security check the place was chaotic we get to our boarding gate and again a long line with 40 minutes wait for someone to check passport and boarding pass seats in premium economy was ok but when the passenger in front reclines there is very little space for the window seat passenger to cross over overall not a good airline,Not Verified,Negative
1,"""delayed and missed connecting flight""",P Patel,2023-04-24,Boeing 777,2,1,2,3,1,Not Rated,1,no,had the worst experience the flight from london to toronto got delayed and we missed the connecting flight to halifax we were four including an infant and a toddler aged 4 years despite being delayed and missed the connecting flight the ground staff were not at all helpful we waited for an hour to get them to talk to us and at 12 am they told us they have not booked any hotel for us to stay that night and asked to go search for a hotel on your own very nice of you british airways at least you guys should have given some consideration to the travelers who travel with children and booked some accommodation we will not to travel on this airline again,Verified,Negative
1,"""!not a good experience""",C Mayre,2023-04-23,Dreamliner,2,1,1,3,1,1,2,no,the ground staff were not helpful felt like all they wanted to do was rush us to check in and then all passengers needed up waiting in a holding area for a bus anyway travelling with a child with a disability was a nightmare with british airways logged a complaint and it took almost four weeks to answer lost some of our luggage it was not a good experience,Verified,Negative
10,""" A very pleasant experience""",Kai Kohlberger,2023-04-22,A350,4,5,4,3,4,Not Rated,4,Yes,second time ba premium economy in a newer aircraft and yet another excellent experience despite a three hour delay and missing my connection in hong kong this was a very pleasant flight seats are spacious and comfortable in premium economy in this layout attitude of the cabin crew was excellent and food was good they communicate well and rebooked my connection during the flight which brought peace of mind a very pleasant experience in ba premium economy after a major disappointment in club world earlier this year,Verified,Positive
2,"""It was a nightmare""",Guadalupe Carlos-Alarcon,2023-04-18,Couple Leisure,1,4,1,3,1,1,1,no,they changed our flights from brussels to london heathrow to lax on 4162023 we paid extra to choose our seats since they cancelled they never honored the seat that we bought they seated us in totally different seats i asked the check in employee she was very rude and told us that we have to understand that was a different flight from london to lax was worse nobody in the airport help us employees from ba told us that we have to return next day for our flight we can rent a hotel or go terminal 3 and sleep there finally one employee help us and gives a voucher for hotel it was a nightmare this airline we missed one day work and ba didnt return the money that we paid for our previous chosen seats,Not Verified,Negative
5,"""Abysmal service""",Patrick Sparks,2023-04-18,Couple Leisure,1,4,2,Not Rated,2,Not Rated,2,no,at copenhagen the most chaotic ticket counter assignment in the history of airlines time on board never changed no fixed counter at airport abysmal service that needs vast improvement here,Not Verified,Positive
1,"""trained to give you the runaround""",T Cayle,2023-04-17,Family Leisure,2,5,2,3,4,1,1,no,worst experience of my life trying to deal with the customer service for british airways so many issues with getting from one destination to the other had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties i wrote them a formal complaint requesting some type of refund and received a generic we are sorry email with 5000 avios attached which is equivalent to maybe 50 on a 600 flight needless to say these will go to waste as i refuse to fly with an untrustworthy incompetent unorganized airline that couldnt even address one single issue expressed to them it was equivalent to handing me a band aid after slapping me in the face i will say the flight itself was smooth and the onboard staff was kind and attentive the most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss,Verified,Negative
3,"""they only had one choice of meal""",Andrew Pybus,2023-04-17,Solo Leisure,2,1,1,1,2,1,2,no,due to code sharing with cathay pacific i was downgraded to ba on my return leg i cant describe how cheated i felt i booked and paid for an airline with great entertainment food and service instead i was forced to go hungry because they only had one choice of meal and it was inedible to ensure the passengers didnt get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts the cabin crew announced in their uniquely aggressive and dismissive way you wont get anything else for 12 hours you know the entertainment is compiled mainly of b movies so i paid 11 for wifi so i could watch netflix on my laptop unsurprisingly the signal was so weak i couldnt even send an email to add insult to injury the earbuds provided the cheapest and lowest quality i have ever seen since the last time i used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful what i dont understand is why it seems that british airways look for these characteristics as desirable attributes for their crew,Verified,Negative
4,"""relentless BA cost cutting""",M Edwards,2023-04-16,A320,3,3,4,Not Rated,3,1,2,no,lhr check in was quick at the first wing and quickly through security the first lounge was quiet for a change and a reasonably good breakfast buffet available while ba have brought back their highlife magazine in the lounge it seems they used covid to scrap all the other magazines they used to offer as part of the endless ba cost cutting the toilets in the lounge were as disgusting as ever not cleaned frequently on this visit and they are about 20 years out of date the public washrooms in t5 are better and cleaner boarding was the usual ba muddled mess and two of the gate staff appeared to have no clue what they were doing endless announcements at the gate about being a full flight requesting passengers to check in bags only to get on a flight that was less than 40 full onboard a very good welcome from captain and the flight left the gate only 5 mins late breakfast had 3 choices and was a fair standard no hot towels or even packet towels offered in club europe any more another part of the relentless ba cost cutting i wouldnt mind but fares are proportionately a lot higher now than pre covid cabin staff service was perfunctory at best not a scrap of recognition for ba gold or oneworld emerald members clear proof that ba really dont care any more breakfast trays cleared 45 mins into the flight and that was the sign for staff to stay in the front galley for the rest of the flight paid 499 for 1 hours wifi and dropped connection for the next 40 mins sad to note that staff service on ryanair is more pro active nowadays priority tagged suitcase came out nearly last at malaga this is standard for ba business class baggage handling do not waste your money on club europe standards just keep dropping,Verified,Positive
3,"""I wouldn't recommend British Airways""",Luis Rojas,2023-04-15,Family Leisure,4,4,Not Rated,1,3,3,1,no,i wouldnt recommend british airways at all i tried to call to customer service for 3 times in different days and time and i waited for more than 30 minutes on the phone i ended hanging up they are excusing themselves in the high volume of calls i write an email an i am still waiting for 2 weeks website is difficult to navigate it is not easy really to have an invoice of proof of receipt or look for another service they sent you online but you dont receive a pdf file so if you need a proof of flight you need to do screenshots and once the flight is flown you have no access to that booking again to reprint any document or try to create a pdf you need to contact with a customer service which i did it online long waiting time and had to wait more than a week to receive it expensive and poor almost inexistent customer service and difficult to use their website an airline that definitely wouldnt recommend it is such a shame that in 2023 they are still in this position and sleeping when they have competitors around,Verified,Negative
1,"""Absolutely horrible experience""",C Maire,2023-04-15,Solo Leisure,3,3,2,Not Rated,1,Not Rated,1,no,absolutely horrible experience i booked a ticket from expedia for a british airways operated flight from madrid to belfast with a changeover at london heathrow the whole itinerary was listed as ba although the madrid to london flight was iberia on jan 22nd london was experiencing cold and fog the iberian flight sat on the tarmac for 2 hours in madrid because of the london weather upon landing in terminal 3 i had to take a bus to terminal 5 the flight was the last flight to belfast for the evening and it had already taken off the ba desk was swamped with people as many people had to spend the night due to the weather the british airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed i was barely able to find a room and had to take an expensive cab however when trying to get the reimbursement ba said it wasnt their problem and that it was iberias problem iberia said they do not reimburse due to the weather when complaining to ba they said they only market the flight as ba and that they refuse to reimburse absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but dont want to take responsibility for it did they expect me to take the bus back to terminal 3 their people gave out false information,Verified,Negative
1,"""This is the worst airline""",Megan Campbell,2023-04-14,Business,1,1,1,1,1,1,1,no,this is the worst airline not one thing went right i dont understand how they have got it so bad late take off no gate when we arrived bags took over 40 minutes to arrive horrendous,Not Verified,Negative
2,"""never fly British Airways again""",L Horten,2023-04-13,Couple Leisure,1,2,2,1,2,Not Rated,2,no,i will never fly british airways again to start the plane was over 2 hours late with no weather and no reason given the boarding process was chaotic both in the airport and onto the plane but more importantly although we were in business class it wasnt really business class there were a few aisles not separated in any wayin which they simply put a tray on the middle seat so that no one sits there and those seats like the rest were extremely cramped and uncomfortable i could not believe they called this business class,Verified,Negative
1,"""seats were cramped and uncomfortable""",L Keane,2023-04-12,A350,1,1,1,4,4,1,1,no,worst aircraft i have ever flown the seats were cramped and uncomfortable considering the flights cost well over 1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour flight is not acceptable my food was disgusting and inedible both the hot food and the breakfast were vile i would not entertain using ba again ground staff were great its the seating and food on offer that lets the airline down we expected so much more,Verified,Negative
9,"""I enjoyed my flight""",Brett Hardy,2023-04-11,A320,5,5,5,Not Rated,3,Not Rated,5,Yes,i enjoyed my flight the boarding was swift and service was very friendly and professional the food selection was good and i enjoyed the quality the was only one downside when we landed there was an issue with ground crew not being ready at t5 so in total from landing to getting the doors open it took 30 minutes i believe the heathrow t5 were having strike action that week,Verified,Positive
5,"""found the food menu rather odd""",P Jones,2023-04-10,Boeing 777,4,3,2,3,2,3,3,no,why do you make it so hard after a so so lounge experience the staff taking care of boarding treated us with disdain bordering contempt it cant be training who would do that it has to be no fear of anything happening the new club world suites are a huge step up from the old product and really on deliver comfort and privacy the crew were professional but i personally found the food menu rather odd essentially there was one only main that i could handle and was then told they had ran out i was a few rows in,Verified,Positive
1,"""cover 50% of my new luggage""",Colean Wright,2023-04-09,Couple Leisure,1,4,1,Not Rated,1,Not Rated,1,no,after several delays and canceled flights we finally made it to copenhagen on american airlines and british airways flights my luggage was destroyed wheels torn off i had to buy new luggage in denmark i made a claim with british airways to reimburse me but because i didnt have the receipt for my old luggage they would only cover 50 of my new luggage advice have receipts for your old luggage prior to flying so you dont get ripped off like i did,Verified,Positive
