rating,title,author,date,content,aircraft,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended
1,"""Absolutely horrible experience""",C Maire,2023-04-15,"✅ Trip Verified |  Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information.",Solo Leisure,3,3,2,Not Rated,1,Not Rated,1,no
1,"""This is the worst airline""",Megan Campbell,2023-04-14,"Not Verified |  This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous",Business,1,1,1,1,1,1,1,no
2,"""never fly British Airways again""",L Horten,2023-04-13,"✅ Trip Verified |  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class.",Couple Leisure,1,2,2,1,2,Not Rated,2,no
1,"""seats were cramped and uncomfortable""",L Keane,2023-04-12,✅ Trip Verified |  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.,A350,1,1,1,4,4,1,1,no
9,"""I enjoyed my flight""",Brett Hardy,2023-04-11,"✅ Trip Verified |  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week.",A320,5,5,5,Not Rated,3,Not Rated,5,Yes
5,"""found the food menu rather odd""",P Jones,2023-04-10,"✅ Trip Verified | Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in.",Boeing 777,4,3,2,3,2,3,3,no
1,"""cover 50% of my new luggage""",Colean Wright,2023-04-09,"✅ Trip Verified |  After several delays and canceled flights, we finally made it to Copenhagen on American Airlines and British Airways flights. My luggage was destroyed, wheels torn off. I had to buy new luggage in Denmark. I made a claim with British Airways to reimburse me but because I didn’t have the receipt for my old luggage, they would only cover 50% of my new luggage. Advice, have receipts for your old luggage prior to flying so you don’t get ripped off like I did.",Couple Leisure,1,4,1,Not Rated,1,Not Rated,1,no
2,"""the worst flight of my life""",Andrew Fitch,2023-04-09,"Not Verified |  Literally the worst flight of my life. After booking tickets together with my partner, we were then separated: ‘sorry, the flight is full.’ The flight then took off 45 minutes late - no apology. The trolley service took over two hours and they periodically skipped rows, and the response was flippant and rude: ‘whoops. Not sure how that happened. What do you want?’ Genuinely appalling from beginning to end. Might as well fly Easy Jet - at least they charge a price commensurate with the poor quality of service, not like BA",Couple Leisure,3,1,2,Not Rated,1,Not Rated,1,no
7,"""flight was pleasant enough""",Andy Magowan,2023-04-09,"✅ Trip Verified |  I swore I would never fly BA again after they messed me about so much when trying to get to Budapest. But the times for their flights suited me so I decided to give them another go. The flight left on time (just about), the cabin was clean and the staff friendly. There was even complimentary tea/coffee and a breakfast bar to be had for economy. The flight was pleasant enough and I can't think of any negatives to write about. The flight and service was certainly head and shoulders above my trip with easyjet.",A319,4,4,3,Not Rated,4,Not Rated,4,Yes
4,"""downright rude and abusive""",Andrew Pybus,2023-04-06,"✅ Trip Verified |  Obviously many airlines have gone downhill in recent years. Prices have increased and services have gone down. The most disappointing thing about BA is that aspects that really don’t need to get worse have. The check in staff at Heathrow are downright rude and abusive, shouting at passengers to line here and there and rolling their eyes if passengers get confused with the constant shouting and bullying. Airlines are now competing globally more and more and this behaviour is particularly noticeable in Asia where the service industry is next level. I wouldn’t want to suggest that all the staff are like this and many younger employees are polite and helpful. However there were a couple of older staff that were downright rude and obnoxious.",Boeing 787,2,2,3,3,4,5,3,no
1,"""disappointing staff""",K Bhaduri,2023-04-06,"✅ Trip Verified | Lost 3 out of 4 checked bags. Denied wheelchair assistance at LHR for my wife and the staff forced us to change terminals by foot. Rude staff on BA297 from LHR to ORD on April 05, 2023: ignored multiple times when simply requested a cup of water. When walked up to them after a couple of attempts to request for water politely, the BA staff onboard yelled at my wife and asked her to be go back to seat. Horrible flight with disappointing staff. Customer service is terrible and online check-in never worked because BA never verified our COVID documents which were uploaded in advance, resulting me and my wife seated separately. I’ve lost respect for British Airways. Disgusted.",Family Leisure,4,1,5,5,1,1,1,no
3,"""crew could not give a damn""",N Melville,2023-04-05,"✅ Trip Verified |  I have flown with BA for many years and there was a time about 10 years ago when they were getting better. Sadly this trip underlines how they have slipped versus other airlines. At booking time, one is scammed an extortionate amount to book a seat. At Heathrow T5 check in the queues were unbelievably long and staff at bag drop curt to say the least. The lounges here remain awful and overcrowded and BA has not invested in them for many years. On the flight the food was okay, although portions are kept minimal. This was one of those days when the crew could not give a damn and the service was mostly absent for the entire flight. Next time they change CEO, can they not do better than recruiting from aa second rate, budget Irish airline.",Boeing 777,3,2,2,2,3,1,2,no
9,"""a very solid experience""",C Down,2023-03-31,"✅ Trip Verified | Boarding at Mumbai was chaotic and badly organised. Once on board the crew announcements were professional, relaxed and informative in typical BA style. The seat was quite comfortable. It was a refurbished aircraft and the padding and materials are quite good. I was lucky that the middle seat was empty so I didn’t suffer from the new narrow seat which I think would have made it a lot less comfortable. The IFE is excellent, responsive and good quality. There is an enormous selection of TV and movies and a good number of games. WIFI is also very good not quite Netflix quality but still reasonable and I don’t think £17.99 for full flight is bad value. You can pay less if you just want short term simple messaging. Cabin crew were very good. Friendly and efficient. Catering was reasonable although on a near 10hr flight, the small (but tasty) pastry for the second meal service wasn’t really enough. Landing and processing at Heathrow was astonishingly quick - it felt like it was 3am, even though it was 6:30pm! No queues or waiting at all. Even the baggage was super quick at coming through. Overall a very solid experience in economy. Significantly better than it used to be.",Boeing 777-200,4,5,3,5,4,5,5,Yes
10,"""Service was impeccable""",Pieter Boone,2023-03-30,"Not Verified | Mexico City Airport is a zoo, but taking the late departure on BA to LHR isn't too bad. Club passengers can use the AA Admirals Lounge, which is surprisingly good and not too busy as it seems to cater to BA's club passengers only at this time of day. Lovely staff, solid food & bar, really pleasant. We flew an older 787 with the old style club seats. Seated in the front cabin (just 3 rows of club) in the window and adjecant aisle seat is really good if you travel with your partner. Come to think of it, I will really miss this old style -once cutting edge- lay-out. There is no better way to fly when you are a couple. We were in that last row of the front cabin so both window and aisle seat had unobstructed access to the aisle. Still terrible you have to pay for these seats, but it obvioulsy works and we were happy getting these seats. Flying BA when the crew is good is amazing. Service was impecable on this flight. Just the right mix of humor, service and attention. Food seemed to be good as well, but hardly touched it. I am fine sleeping in these old club world seats although bedding could be better. On time departure, smooth flight and early arrival at Heathrow. We went outside for a smoke and returned to the terminal through fast track. Security at LHR has always been terrible, but today security staff was too busy chatting among themselves so all bags went through without 'secundary' checks. We had a lovely shower at the 'spa', what a fabulous facility. The South Lounge was crazy busy and it is just a design disaster. Who ever choose the bizarre combination of furniture: what a mess! Food on offer was solid and so are the drinks. Our home stretch to Amsterdam was pretty straight forward. Lousy welcome at the door but crew recovered well and made everyone feel special with excellent bar-cart service. I love the 'double'-servings of drinks. English tea is about the worst meal concepts in the world and I really don't understand BA stuck to it through the years. No-one like the cucumber white bread things, but hey... On time landing in Amsterdam but the usual long taxi then clumsy jet bridge connection ended up with a 20 minute late arrival, why is it so hard to connect a jetbridge in Amsterdam? Flying club in BA is still wonderful. I Love it!",Boeing 787 / A320,4,5,5,Not Rated,4,Not Rated,5,Yes
1,"""Very poor service, very frustrating""",S Dartano,2023-03-29,"✅ Trip Verified |  Very poor service, very frustrating. Firstly my flight to LHR was cancelled on 16 Mar23, while I got a text message to inform me, the information desk was unable to confirm if was correct or scam. Once this was confirmed, I went to the counter to get my new boarding pass. At the counter they informed me that the coach will be leaving in 15mins for the hotel. We (me and other fellow travelers) waited for over 45mins, there was no one at the coach stand to guide us or answer any questions. The transfer hotel was 30 mins away from the airport. When we got to the hotel which is around 10:15pm the staff informed that dinner closes at 10:30. that was a rush. It appeared more of a Motel than an hotel. The room - was smelling of weed, being a non-smoker this was uncomfortable. Although I wanted to compromise and rest, when I went to wash my face, the tap on the sink came off in my hands, I panicked and asked the reception staff to change my room. After some discussion, they agreed to change it. I went to the alternate room, to my horror, it was occupied. I asked the staff to call a cab, and I left.",Business,3,3,3,1,3,1,1,no
3,"""Generally poor""",David Newman,2023-03-27,"Not Verified |  Generally poor. Sent to gate on time, sat maybe 30 minutes, was then announced as crew were not familiar with the A321 there would be a delay. Clearly nonsense and there was a retraction on board of this statement. Watched the crew walk through to the gate, my impression was they did not want to be there. Was given a miniscule amount of water, small bag of pretzels and then it was announced there would be a wait for any further cabin service as card processing machines were u/s. No further updates or sight of crew for next two hours, then attempted to charge us for even a glass of water. When I said this should be complimentary, girl said it was not her problem and walked away.",A321,3,2,Not Rated,1,2,Not Rated,3,no
1,"""changed our prepaid seats""",Derek McLeod,2023-03-26,"Not Verified |  BA changed our prepaid seats at the last minute and charged us to select new seats. Flight took off late, cabin crew served a tiny packet of pretzels. Arrived at Heathrow late, put on a remote stand, loaded onto buses to terminal. Held up at transit security by a clown of a member of staff, allowed 15 passengers at a time because of a trial. Queued at security for 20 minutes.",Couple Leisure,1,1,1,Not Rated,1,Not Rated,1,no
1,"""airline is going downhill rapidly""",Derek McLeod,2023-03-26,Not Verified |  Flew from London Heathrow to Marrakech. BA changed our pre paid seats at the last minute and even charged us to select other seats. Boarding was chaos. Staff were rude demanding selected passengers put their hand luggage in the hold. I had one small bag however they never demanded other passengers with 2/3 bags and some with hand luggage that was obviously too big. Flight was late taking off and the snack was a miserable tiny packet of cheese pretzels. This airline is going downhill rapidly.,Couple Leisure,1,3,1,Not Rated,1,Not Rated,1,no
1,"""made a complaint, nothing happened""",Mohammed Laidi,2023-03-21,"Not Verified | I was meant to fly in January to Algeria. I paid over £300 for the ticket. Just a few days before I was meant to fly, my wife broke her foot. I had to then rebook it in March and pay another £100. I called British Airways 3 weeks before my flight in March and I told them again that it had to me rebooked, as my wife was still not well. They told me that I don’t have to pay anything to get it rebooked as I sent them a letter from the hospital saying my wife wasn’t well. However, they never sent me the ticket. They made me wait for nearly 4 weeks and they asked me to pay either £316 on top of the £450 that I paid previously. Or the second option they gave me is to get a refund of £80. (Tax only). I found it ridiculous that they told me to pay a fraction of the money I previously paid. Each time I call them, they hang up on me; or they continue telling me to pay £360. I made a complaint, and nothing happened.",Family Leisure,1,1,Not Rated,Not Rated,1,Not Rated,2,no
1,"""Every flight was delayed""",S Walder,2023-03-21,"✅ Trip Verified |  We have flown repeatedly with British Airways and the One World alliance over the last few weeks. Every flight was delayed. Now we are back at the airport in Miami and have another massive delay so we will miss our connecting flight. Finally, our luggage arrived in Puerto Rico with a 3-day delay and we had to reschedule our round trip ... we haven't received any information about our luggage to this day, luckily we checked it ourselves at the airport and it was there. The last delayed flight meant the cabin crew that they too miss their connecting flights and we are on the same plane and they can't do anything.  Wir sind in den letzten Wochen immer wieder mit Britisch Airways und dem One World Zusammenschluss geflogen. Jeder Flug war verspätet. Nun sitzen wir wieder in Miami am Flughafen und haben schon wieder eine massive Verspätung sodass wir unseren Anschlussflug verpassen werden. Zuletzt ist auch unser Gepäck mit 3 Tagen Verspätung in Puerto Rico angekommen und wir mussten unseren Rundreise umplanen… wir haben bis heute noch keine Info über unser Gepäck erhalten, zum Glück haben wir selbst am Flughafen nachgesehen und es war da… Beim letzten verpspäteten Flug meinte die Kabinen Crew dass auch sie ihre Anschlussflüge verpassen und wir im selben Flugzeug sitzen und sie können nichts machen.",Couple Leisure,3,1,3,4,1,2,1,Yes
3,"""how far the quality level has slid""",L Garson,2023-03-20,"✅ Trip Verified |  I was horrified by the extremely small seats and the poor training that the crew clearly receives. Not one of them exuded any kind of warmth or expressed any desire to make our journey pleasant. The seats were so narrow that regardless of the size of your neighbors you are forced to touch each other constantly, if the seat in front of you is reclined you have no choice but to recline your own, or else you are breathing in the head/ scalp of the person in front of you. Food was revolting, they don't even provide napkins unless you ask with the pre-meal drinks and the secondary meal. The last time I flew BA it was a completely other experience and I was so sorry to see how far the quality level has slid. It was really majorly disappointing and I regret that I have already purchased 2 other intercontinental trips with the company. I will now have to see if I can change them. The pathetic 250 ml bottle of water, it's just a sip. On the shorter flights the seats couldn't even be reclined which was a great pity since the flight was delayed by almost 3 hours and we had to wait on board.",Business,1,1,1,2,2,Not Rated,2,no
2,"""worst cabin experience ever""",J Billot,2023-03-20,"✅ Trip Verified |  
The worst cabin experience ever: cramped seats, very low cost style and uncomfortable. Could suit for short flights but not for a 5 hours service. Catering is also a shame: 250ml of water + a chocolate bar for a 5 hours service. Will never fly BA again.",A321Neo,1,4,1,1,4,1,2,no
8,"""Very impressive and efficient""",l Higgs,2023-03-18,"✅ Trip Verified | First time flying with British Airways and first time flying to the Americas from India via London Heathrow. I chose Premium Economy at a reasonable price. I was quite comfortable, however, the first leg of the flight from Mumbai to Heathrow, the plane was a bit outdated and there was only a foot rest. The second leg, from Heathrow to Nassau, the plane was brand new and my premium economy seat had a pop up leg support which was much more comfortable. Cabin service was fine - I appreciated that they didn't come through the cabin often while everyone was sleeping. The meals weren't that great to be honest. After landing in Heathrow, we had to wait on the tarmac for 45 minutes waiting for an open gate. My connection was less than an hour long! The BA staff in the Heathrow Airport helped me move through security quickly and I made it with time to spare for my next flight. When I arrived in Nassau, I found that my luggage didn't make it due to the short connection time in London. The BA baggage representative in Nassau was extremely professional and took down my claim. My luggage arrived on the next BA flight a few days later, and British Airways Nassau representative delivered it over to a charter airline which shipped it to the island I was staying on. Very impressive and efficient!",Boeing 777,4,4,2,3,3,1,3,Yes
3,"""We are done with BA""",D Vale,2023-03-18,✅ Trip Verified |  The latest affront. Stood in first class line for an hour. Finally go up front and the BA agent let 4 supposed VIPS with 12-14 large to-be-checked bags in front of all of us. Arrogant and unapologetic. Add this to a long list of post-Covid disappointments. We are done with BA.,A380,4,5,4,4,1,4,2,no
1,"""I was left stranded at the airport""",Glen Patrizio,2023-03-17,"Not Verified |  Booked a flight return flight between London and Munich for 3/11 to 3/17 in December. The return flight was cancelled and re-booked from 3/17 to 3/12. British Airways only notified me of the first change, but not the second. Getting the flight reinstated took multiple phone calls on both occasions. Each time needing to find a helpful representative. British Airway employees told me that even though they cancelled my flight they did not have to refund the ticket. They tried to charge an $800 change fee. Through repeatedly calling back, British Airways reinstated my 3/17 flight on 2/20 and then again on 3/6. To make sure it did not get changed again, i checked the status of my ticket daily from 3/12 to 3/15. It was intact those days. On 3/16 when it was time to check-in for the flight, it was gone. At the airport the staff at the British Airways check-in counter are not BA employees, so cannot help resolve problems. There are no BA representative at the Munich Airport. The confirmation documentation from British Airways was of no value. I was left stranded at the airport.",Solo Leisure,3,3,Not Rated,Not Rated,1,Not Rated,1,no
1,"""I will never fly with them again""",C Lane,2023-03-17,"✅ Trip Verified |  I tried to check in on line and was informed that this was not possible. I was given no reason for this. I telephoned BA customer service and must have wasted nearly 2 hours being given wrong phone numbers and incorrect information. Staff need customer training, better knowledge of their product, and some manners. BA customer service was virtually non existent. I will never fly with them again.",Couple Leisure,1,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no
1,"""A catalogue of failures""",G May,2023-03-16,"✅ Trip Verified |  A catalogue of failures. We flew from Belfast to Heathrow a week ago and the flight was delayed by over three and a half hours. We missed our onward Air Canada flight to Calgary as a result. On arriving in Calgary (after re-routing via Vancouver which added over 6 hours to our journey) we met other passengers who had also missed the same Air Canada flight as their British Airways flight from Manchester had also been delayed by several hours. We are now on our way home only to find our Heathrow to Belfast flight, which had already been cancelled and put back 2 hours, is now delayed by another 2 hours. Avoid British Airways like the plague.",Couple Leisure,3,3,3,Not Rated,1,Not Rated,1,no
7,"""it's by no measure good""",A Ahmed,2023-03-15,"✅ Trip Verified |  
Our flight out to Dubrovnik was at the painful time of 6:30 in the morning and from London Gatwick, not an easy airport to get to at that hour especially as you have to be at the airport minimum 2hrs before to be ready to board. I understand why the likes of easyJet, Ryanair or Wizzair fly at very odd times to utilise cheaper slots at airports, but it seems an odd choice for BA given most people like us who fly with them choose them based on quality not on price alone. Outbound LGW-DBV: Boarding was fairly quick, easy and efficient and we took off on time. Pilot announcements clear, professional and inspired confidence which is something I appreciate and expect of BA pilots. Aircraft was clean and it had not been through the recent refurbishment program yet so had the advantage of having the 'Pinnacle' seats in economy still with more padding and adjustable winged headrests for better comfort. Complimentary Harrogate Mineral water given as usual which is a premium touch, complimentary snack of a Nutrigain bar was poor and not premium however. Cabin crew felt very unpolished in both presentation and behaviour - messy ill-fitting uniforms and unclassy make-up. Toilets clean and maintained, appreciate anti-bacterial wipes being kept available post-covid. Inbound DBV-LGW: For some reason no online or app check-in available, despite Dubrovnik Airport being a very modern airport with state of the art facilities. No queue at manual check-in though, and ground staff were very warm, friendly and helpful. Pro-actively offered to take our larger hand-luggage into hold free of charge, but we decided to keep with us as we would have to dash for train home from airport and trains on the other end were being cancelled already. We did not understand the delay to our flight as the inbound flight for that day had took off on time and landed on time. Also we travelled to Dubrovnik out of season, and the airport was empty at that hour, with all services being available solely for this flight taking off that evening. All the passengers in the terminal at that time including us were there to take this flight. We boarded on time and then we all sat at the gate for 15 minutes for no reason. It's truly bizarre how BA managed to take off late when all the services at the airport were operating and live solely for the purpose of enabling this flight to take off. Pilots for this flight were unpolished, with unclear announcements - during the flight one couldn't even remember where we flying back to! No apology for delay. Cabin crew a bit smarter presented and seemed more approachable. Harrogate water given out and the worlds tiniest bag of pretzels complimentary. Seats for this flight were horrendous and the new 'slimline' ones BA are installing from row 14 onwards. These seats have barely any padding, so very hard and also have no headrests so very hard to get comfortable. We landed 55 minutes late in Gatwick and again no apology was given - we were lucky to catch the last uncanceled train home otherwise we'd been stranded for hours. We'd spent half an hour circling Gatwick because we missed our original landing slot. Given 7 because in the context of the short-haul market thats what they deserve - we fly BA as we don't fly the low-cost carriers after so many bad experiences, but it's by no measure good, just the least bad option. Given 1 point extra solely for giving something complimentary onboard.",A320,1,3,2,Not Rated,5,Not Rated,5,Yes
1,"""Avoid unless you have no other option""",S Paice,2023-03-15,"Not Verified |  If I could give a minus rating, I would. Supposed to be LHR-AMS at 14.05 on 13th March. Get to LHR at 12.00, email to say flight cancelled. No one able to help at LHR, said to use the app. Only halfway sensible option was from LCY-AMS at 17.05, so taxi over there as trains from LHR not working (ok, not BA's fault). Get to LCY, showing as cancelled on screen, so check the app and there it is. Rebook again via the app to the 15.30 departure, go to desk to drop bag and was told that I was only on standby for the flight, with no guarantee of a seat, despite the app telling me it was confirmed. The 18.35 to AMS was already overbooked so was moved onto the 19.30 flight to Rotterdam. The 15.30 and 18.35 were both cancelled anyway, as it happened. Eventually took off and the best thing I can say is that it landed intact. Return from AMS-LHR, similar story. Arrive at AMS, screen shows the 21.00 is cancelled. Quickly check app, and confirmed it was. No emails, no texts, nothing. Rebooked via app to the 22.00 departure, so could have been worse. Desk agent helpfully printed me a boarding card as the app was unable to issue anything for a rebooked flight. Overall, dreadful. They just don't care and hide behind apps and automated call centres. Avoid unless you have no other option, and even then stop and consider if you 'really' need to go.",Business,2,1,1,Not Rated,1,Not Rated,1,no
2,"""pathetically inefficient""",W Allen,2023-03-15,"✅ Trip Verified | Plane was over an hour late leaving, no problem that can happen. But on arrival at Heathrow, the plane sits on the runway for 45 minutes as there was no free stand to go to. Then once at the stand we waited another 45 minutes as there was no bridge available to enable us to get off the plane. Just pathetically inefficient.",Solo Leisure,3,2,1,1,1,1,2,no
2,"""fallen far behind their competitors""",Kevin Coker,2023-03-14,"Not Verified |  We were flying World Traveller Plus their Premium service. What it was not was Premium. We have travelled with many airlines and lucky enough to fly Premium most times. BA's premium is the worst I have come across. The flight from Heathrow to JFK was just ok, the flight back was in a plane that should not be used. Old, dirty, uncomfortable with two broken seats out of the four we had, one would not recline and one reclined without using the button. BA needs to look at the Premium service and offer exactly that instead of trying to cut costs. They have fallen far behind their competitors, they were once my preferred airline but now I try and avoid at all costs. I would rather pay more and fly with someone else.",Couple Leisure,1,2,2,2,3,Not Rated,1,no
1,"""one of the worst experiences""",Martin McCormack,2023-03-13,Not Verified |  This was literally one of the worst experiences. I haven’t been to an airport since. It began in Orlando flying back the flight plan system went down and we were stuck on the tarmac for 6 hours. Poor customer service and just ignored at times. Then missed my connecting flight and we were told not to leave the baggage area without our bags. Even though I booked through to Dublin. Another 4 hours I was told my bags were lost and to continue to the desk to book a flight. Another hour later I was handed a card with a number and told to ring it. I was cut off three times and told I wouldn’t be able to get home that day despite several flights being available. Just booked my own flight and had lost my suit and presents for Christmas and missed an engagement party.,Solo Leisure,1,1,1,1,1,1,1,no
1,"""a horror show of incompetence""",R Worton,2023-03-12,"✅ Trip Verified |  The usual shambolic unfolding that BA has now unfortunately been come to known for. We had a long weekend flight booked to Munich that was supposed to be departing on 9th February at 19:55. This happened to be our first flight with our newborn (3 month old) daughter. It turned out to be a horror show of incompetence. Just under 3hrs before scheduled departure, the original 9th February flight was cancelled. We received an email as we were boarding the Heathrow express. I’d booked a day of holiday off work for this trip. We ended up getting doing a round trip to Paddington instead. On the way back from the cancelled flight, both me and my wife tried calling BA. Despite one of us having silver membership (possibly the largest joke of a membership currently out there), I took us nearly 45 minutes to speak to someone who could help. I believe BA outsource their call centres and so you end up talking to people who are following a script. The result is that you might as well be speaking to an AI rather than a human. We often received the response similar to ‘computer says no’. If this is the service level for silver members I can’t imagine what a regular punter has to put up with. When the phone originally connected to a person, I had to wait 5 minutes as his computer booted up. - BA then proceeded to auto-book us onto a new flight for the next day but going to a different destination. Our original flight was to Munich and the auto-booked replacement flight was to Salzburg. When asking the robot at the BA call centre why they booked us on a replacement flight to a location 135km apart, they couldn’t understand my frustration.  Eventually, someone was able to book us onto a flight the following day at 17:00. Not ideal as I’d wasted a valuable day off work and the hotel wouldn’t refund us or move our booking, but at least we were going to Munich and not Salzburg. - The day of the new flight came round and, this time, we managed to get all the way to the check in desk. Upon arriving at the check in desk, we were told that our rebooked flight had just been cancelled 4 minutes earlier. No email. No text. No notification ever arrived from BA to tell us that the flight had been cancelled. Incomprehensible as to how this could have possibly happened. The check in person said I should get on the app to rebook. At this point, I didn’t know whether to explode with anger or cry. Luckily, another check in person had an ounce of sympathy and explained to the useless check in person that he could actually rebook us. We were booked onto another flight later that evening (19:55 - BA0958). Unfortunately, that meant 5hrs in the grotty lounge with a 3 month old baby. It appears that everyone now has access to a lounge and so there’s really no difference between the lounge and a hostel, other than you get free stuff in the former. This was not a pleasant experience. We did eventually arrive in Munich and, despite asking, didn’t get our push chair/stroller delivered to the front of the plane. The plane was a characteristically BA dumping ground - they used to give you sanitising wipes so you could clean your seat and tray table down but they seemed to have cut back on this service too. All in all, another shocking BA service. A lost day of holiday and not an an ounce of empathy/sympathy/understanding at all from any of the employees I interacted with.",Family Leisure,1,1,1,Not Rated,1,Not Rated,1,no
2,"""My baggage never arrived""",N Gale,2023-03-12,Not Verified |  Lost my case and took 6 weeks to locate it and still have not replied to me after 8 weeks. I had a business class flight scheduled on Dec 12 2022 … Manchester > Copenhagen -Bangkok and return flight Dec 27 2022 … Bangkok > Stockholm > Manchester. SAS Airlines left Manchester over an hour late due to the weather and air traffic control. When I arrived in Copenhagen to get the connecting flight for Bangkok we were 10 minutes too late and the flight had gone (half of the plane missed it).. SAS Airlines provided me with a new itinerary the same day being … Copenhagen (SAS) > London (BA) > Dubai (Emirates) > Bangkok. I returned from Copenhagen to London and the collected my boarding pass at BA. We were over 2 hours late leaving London due the weather and a passenger being asked to leave the flight. We arrived in Dubai late and was informed the flight had gone. Emirates then informed me that I had to speak with Thai Air to get another flight issued. I spent over an hour phoning Thai Air with nobody picking up the phone. I then spoke with Thai Air Dubai who informed me that they did not have any alternative flights and suggested that I buy a new ticket and then claim the funds back later. I paid £1279.43 for a Kuwait Airways flight out of Dubai > Kuwaiti > Bangkok. Whilst in Dubai I checked with Kuwait Airlines regards my baggage and they informed me that it had not arrived from London and they would locate it and forward to my Bangkok address the following day. My baggage never arrived despite me completing lost baggage forms. I arrived back home yesterday and was informed by BA that they have found my bag in London.,Business,4,4,4,4,1,4,1,no
1,"""Total disruption, wasted time""",S Marber,2023-03-10,"✅ Trip Verified |  The incoming and outgoing flight was delayed because French Air Traffic Controllers were on strike so we were routed over Germany, and not BA's fault. O arrival the pilot announced we could not pull onto the stand as no ground crew had showed up to turn on the automatic last metre guidance. It took around 40 minutes to find someone. Then when that was done there was a further delay as there were no ground staff to operate the skybridge. All told we were trapped on the plane for over an hour within metres of our gate. Total disruption, wasted time. Absolutely no excuse for this.",A320,2,3,3,Not Rated,1,Not Rated,2,no
1,"""what an absolute nightmare""",Monica Cullen,2023-03-10,"✅ Trip Verified |  Back in December my family and I as we were getting onto the plane were refused. Even though we had boarding passes and seats allocated and had booked 6 months in advance we were refused. It turns out that someone had not turned up to work and they couldn't let all the passengers on the plane. So quite randomly (not) 9 people were selected and turned away. We were selected as we had no check in luggage and it was easier to boot us off despite them not knowing my circumstances, if I had connecting flights in London etc. I sought compensation from BA (which I was told I could do) and what an absolute nightmare this process has been. They wouldn't acknowledge my complaint for my family until I had an authorisation letter from them saying I could act on their behalf. Even though, I booked and paid for the tickets. So, I uploaded the authorisation letter no less than 10 times. Every time they told me they received it and every time I followed it up they told me they hadn't. There was no other way except to post from Australia to the UK to some office. Eventually, it finally go through to them. I have now chased up the reimbursement four times. Each time they tell me it has been sent and to be patient. Today they tell me that they need to check my account details. So, again, I send them the same information that I have done before. AND I wait patiently for my reimbursement. I am convinced that their business model is for you to get so frustrated you just go away. Well, you know what I won't.",Family Leisure,1,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no
1,"""I detest British Airways""",Robert Davis,2023-03-10,"✅ Trip Verified |  As usual the flight is delayed this week, it already 3 hours and I’m held on a bus waiting to get taken to the plane. I really can’t explain how much I detest British Airways. If it was a cheap budget airline I could accept it, but it’s premium prices for the most unreliable service.",Business,1,1,1,1,1,1,1,no
8,"""Clean aircraft, good crew, professional""",J Robinson,2023-03-09,"✅ Trip Verified | A short BA euro trip and this is where BA excel. Clean aircraft, good crew, professional, on time (within LHR standards) and a good value product delivered. Pity the in flight food sales were not a bit more exciting and appealing as more than a few asked about the non existent hot food options. But good overall. Check in self service is great now once you know how to use it with plenty assistance on hand for those who can’t.",A321,5,5,2,Not Rated,5,Not Rated,5,Yes
